,season,team,identifier,name,unique_name,key_cricinfo,batting_style,player_type,bowling_style
1471,2016,Sunrisers Hyderabad,890946a0,NV Ojha,NV Ojha,32102,Right hand Bat,Wicketkeeper Batter,NA
1472,2016,Sunrisers Hyderabad,73ad96ed,DJ Hooda,DJ Hooda,497121,Right hand Bat,Allrounder,Right arm Offbreak
1473,2016,Sunrisers Hyderabad,d2a6c0e6,EJG Morgan,EJG Morgan,24598,Left hand Bat,Middle order Batter,Right arm Medium
1474,2016,Sunrisers Hyderabad,1c2a64cd,A Ashish Reddy,A Ashish Reddy,389605,Right hand Bat,Allrounder,Right arm Medium
1475,2016,Sunrisers Hyderabad,119678fd,KV Sharma,KV Sharma,30288,Left hand Bat,Bowler,Legbreak Googly
1476,2016,Sunrisers Hyderabad,96fd40ae,A Nehra,A Nehra,31820,Right hand Bat,Bowler,Left arm Medium fast
1477,2016,Sunrisers Hyderabad,2e81a32d,B Kumar,B Kumar,326016,Right hand Bat,Bowler,Right arm Medium
1478,2016,Sunrisers Hyderabad,0a8fce53,Mustafizur Rahman,Mustafizur Rahman,330902,Left hand Bat,Bowler,Left arm Fast medium
1479,2016,Kolkata Knight Riders,8d2c70ad,Kuldeep Yadav,Kuldeep Yadav,559235,Left hand Bat,Bowler,Left arm Wrist spin
1480,2016,Mumbai Indians,b5da6c24,PA Patel,PA Patel,32242,Left hand Bat,Wicketkeeper Batter,NA
1481,2016,Mumbai Indians,4125d931,J Suchith,J Suchith,527663,Left hand Bat,Bowler,Slow Left arm Orthodox
1482,2016,Mumbai Indians,13c35c9e,TG Southee,TG Southee,232364,Right hand Bat,Bowler,Right arm Medium fast
1483,2016,Gujarat Lions,f10e94c4,AD Nath,AD Nath,500360,Right hand Bat,Middle order Batter,Right arm Medium fast
1484,2016,Gujarat Lions,c8179c68,SB Jakati,SB Jakati,29655,Left hand Bat,Bowler,Slow Left arm Orthodox
1485,2016,Gujarat Lions,6aed7e79,PV Tambe,PV Tambe,587152,Right hand Bat,Bowler,Legbreak
1486,2016,Delhi Daredevils,2e8994e7,JP Duminy,JP Duminy,44932,Left hand Bat,Batting Allrounder,Right arm Offbreak
1487,2016,Delhi Daredevils,81049310,J Yadav,J Yadav,447587,Right hand Bat,Bowler,Right arm Offbreak
1488,2016,Kings XI Punjab,508a1ea7,SE Marsh,SE Marsh,6683,Left hand Bat,Top order Batter,Slow Left arm Orthodox
1489,2016,Kolkata Knight Riders,7dc35884,Shakib Al Hasan,Shakib Al Hasan,56143,Left hand Bat,Allrounder,Slow Left arm Orthodox
1490,2016,Kolkata Knight Riders,9d430b40,SP Narine,SP Narine,230558,Left hand Bat,Bowling Allrounder,Right arm Offbreak
1491,2016,Kolkata Knight Riders,5bb5a915,M Morkel,M Morkel,46538,Left hand Bat,Bowler,Right arm Fast
1492,2016,Sunrisers Hyderabad,d8b2f218,BB Sran,BB Sran,537126,Left hand Bat,Bowler,Left arm Medium
1493,2016,Gujarat Lions,d2a989fc,DS Kulkarni,DS Kulkarni,277955,Right hand Bat,Bowler,Right arm Medium
1494,2016,Mumbai Indians,5b8c830e,KH Pandya,KH Pandya,471342,Left hand Bat,Allrounder,Slow Left arm Orthodox
1495,2016,Kings XI Punjab,a9da7784,KJ Abbott,KJ Abbott,297583,Right hand Bat,Bowler,Right arm Fast medium
1496,2016,Rising Pune Supergiants,0f12f9df,NLTC Perera,NLTC Perera,233514,Left hand Bat,Bowling Allrounder,Right arm Medium fast
1497,2016,Rising Pune Supergiants,5fa06777,IK Pathan,IK Pathan,32685,Left hand Bat,Allrounder,Left arm Medium fast
1498,2016,Rising Pune Supergiants,24d94623,Ankit Sharma,Ankit Sharma,422992,Left hand Bat,Bowler,Slow Left arm Orthodox
1499,2016,Delhi Daredevils,8cf9814c,Mohammed Shami,Mohammed Shami,481896,Right hand Bat,Bowler,Right arm Fast
1500,2016,Royal Challengers Bangalore,aa8d28ae,D Wiese,D Wiese,221140,Right hand Bat,Allrounder,Right arm Medium fast
1501,2016,Royal Challengers Bangalore,957532de,S Aravind,S Aravind,290632,Left hand Bat,Bowler,Left arm Medium fast
1502,2016,Mumbai Indians,2be41edb,MJ Guptill,MJ Guptill,226492,Right hand Bat,Opening Batter,Right arm Offbreak
1503,2016,Sunrisers Hyderabad,c18496e1,Bipul Sharma,Bipul Sharma,35928,Left hand Bat,Allrounder,Slow Left arm Orthodox
1504,2016,Royal Challengers Bangalore,b17e2f24,KL Rahul,KL Rahul,422108,Right hand Bat,Opening Batter,NA
1505,2016,Royal Challengers Bangalore,12b610c2,TM Head,TM Head,530011,Left hand Bat,Middle order Batter,Right arm Offbreak
